loan_id,dependents,applicant_income,coapplicant_income,loan_amount,loan_amount_term,credit_history,loan_status,total_income,loan_to_income_ratio,loan_term_to_income_ratio,gender_Male,married_Yes,education_Not Graduate,self_employed_Yes,property_area_Semiurban,property_area_Urban,Cluster_ML
LP001003,0.2815552510768581,-0.12143432586324591,-0.056824548020107946,-0.22334965033464807,0.2746690925097148,1.0,0.0,-0.1404457878521747,-0.3486009346446836,-0.22259614278952228,True,True,False,False,False,False,1
LP001005,-0.7216018686539345,-0.3849631169456115,-0.5509459683932281,-0.9625153350814007,0.2746690925097148,1.0,1.0,-0.621265900804981,-0.23462967694986928,1.564918869167657,True,True,False,False,False,True,1
LP001006,-0.7216018686539345,-0.45438289324463016,0.2216921677074465,-0.31872586772132583,0.2746690925097148,1.0,1.0,-0.31933389199184703,0.029839257682887834,0.1811932757626756,True,True,True,False,False,True,1
LP001008,-0.7216018686539345,0.11445973412646482,-0.5509459683932281,-0.06836329708129671,0.2746690925097148,1.0,1.0,-0.15460128131018355,-0.061137774929097374,-0.19628364423111022,True,False,False,False,False,True,1
LP001011,1.2847123708076509,0.01740522673479131,0.8239436071277348,1.4338121267588781,0.2746690925097148,1.0,1.0,0.4074184754347175,0.43330121169267216,-0.8582231720486226,True,True,False,True,False,True,2
LP001013,-0.7216018686539345,-0.4960014641673032,-0.054203214225025075,-0.6167765470546939,0.2746690925097148,1.0,1.0,-0.48919981348795333,0.07554325327588737,0.7879581344960265,True,True,True,False,False,True,1
LP001014,2.2878694905384434,-0.37897004273274665,0.2695315094677088,0.13431116486539355,0.2746690925097148,0.0,0.0,-0.2261565229660525,0.5194650885122578,-0.050046612432656755,True,True,False,False,True,False,1
LP001018,1.2847123708076509,-0.21748998755277527,-0.050926546981171494,0.2535314365987407,0.2746690925097148,1.0,1.0,-0.22740096195137194,0.7333121278167791,-0.04728820383511913,True,True,False,False,True,False,1
LP001020,0.2815552510768581,1.2533103088544897,3.0429026646653803,2.411418354972325,0.2746690925097148,1.0,0.0,2.6156754548840992,-1.0837774079039022,-1.5136533599318387,True,True,False,False,True,False,1
LP001024,1.2847123708076509,-0.3516682602074731,-0.32157926132347736,-0.9148272263880619,0.2746690925097148,1.0,1.0,-0.48126651495654177,-0.7032060960828939,0.7520561706759186,True,True,False,False,False,True,1
LP001027,1.2847123708076509,-0.4682002587909576,0.05196080447583098,-0.44986816662800777,0.2746690925097148,1.0,1.0,-0.41282237076397144,0.1256791579688458,0.47735602679238154,True,True,False,False,False,True,1
LP001028,1.2847123708076509,-0.372810494236191,2.105120499474485,0.6350363061454518,0.2746690925097148,1.0,1.0,0.6510174068110017,-0.7099179254533257,-1.012212422913659,True,True,False,False,False,True,1
LP001029,-0.7216018686539345,-0.5759091203388355,0.37962752886118917,-0.39025803076133414,0.2746690925097148,1.0,0.0,-0.3579115005367503,0.030407884571741726,0.2942110681090109,True,False,False,False,False,False,1
LP001030,1.2847123708076509,-0.6681358735034788,-0.1950999057107291,-1.546694666574802,-3.4806542053359415,1.0,1.0,-0.7169321478014145,-1.9547576335331742,-0.48058677532483146,True,True,False,False,False,True,2
LP001032,-0.7216018686539345,-0.06033826374876191,-0.5509459683932281,-0.25911573185465225,0.2746690925097148,1.0,1.0,-0.31793389813336265,0.14156151800426217,0.17730476770196157,True,False,False,False,False,True,1
LP001034,0.2815552510768581,-0.28574444386595904,-0.5509459683932281,-0.5571664111880202,-1.6029925564131133,1.0,1.0,-0.5285551963986812,0.43720919020064614,0.0015822666179170406,True,False,True,False,False,True,1
LP001036,-0.7216018686539345,-0.30006123226335857,-0.5509459683932281,-0.8432950633480535,0.2746690925097148,0.0,0.0,-0.5419329154908654,-0.2748310293649387,1.0531164293765622,False,False,False,False,False,True,1
LP001038,-0.7216018686539345,-0.07082614362127551,-0.5509459683932281,-0.16373951446797447,0.2746690925097148,1.0,0.0,-0.3277338551427534,0.3685508175459208,0.20482509270623972,True,True,True,False,False,False,1
LP001043,-0.7216018686539345,0.3908070450530137,-0.5509459683932281,-0.5094783024946814,0.2746690925097148,0.0,0.0,0.10361980814360436,-1.208841819541705,-0.5779541628005559,True,True,True,False,False,True,1
LP001046,0.2815552510768581,0.10696839136038368,1.2921793562744117,2.0060694310789446,0.2746690925097148,1.0,1.0,0.7133949109501396,0.3670486291947071,-1.0449459952470965,True,True,False,False,False,True,1
LP001047,-0.7216018686539345,-0.4515528304218884,0.07522514190719141,-0.3664139764146647,0.2746690925097148,0.0,1.0,-0.386222487452768,0.19504257518403958,0.3850576420581304,True,True,True,False,True,False,1
LP001052,0.2815552510768581,-0.2656010555393853,0.40747920043394464,0.050856974652050496,0.2746690925097148,1.0,1.0,-0.0547350527382969,-0.14972086291260303,-0.3665173108378563,True,True,False,False,True,False,1
LP001066,-0.7216018686539345,0.7071081840653287,-0.5509459683932281,0.5277380615854393,0.2746690925097148,1.0,1.0,0.39917406715697606,-0.4683719047770175,-0.8521289316473875,True,True,False,True,True,False,2
LP001068,-0.7216018686539345,-0.41842444796744066,0.18728716164698392,-0.2948818133746564,0.2746690925097148,1.0,1.0,-0.30206730107053953,0.013909263184400687,0.13420328821188895,True,True,False,False,True,False,1
LP001073,1.2847123708076509,-0.180865645140823,-0.21017257503245557,-0.43794613945467303,0.2746690925097148,1.0,1.0,-0.268778558213244,-0.36316172032568345,0.04920109652747221,True,True,True,False,False,True,1
LP001086,-0.7216018686539345,-0.6443300509357098,-0.5509459683932281,-1.332098177454777,0.2746690925097148,1.0,0.0,-0.8636203931959457,0.028134757178678336,5.370679640145854,True,False,True,False,False,True,1
LP001087,1.2847123708076509,-0.25810971277330413,0.13158381850147302,-0.31872586772132583,0.2746690925097148,1.0,1.0,-0.1787122866507481,-0.40460919658014327,-0.1495793859630505,False,False,False,False,True,False,1
LP001091,0.2815552510768581,-0.19085410216226453,0.5529632260610436,0.6469583333187865,0.2746690925097148,1.0,0.0,0.0841754489979878,0.3061462317598667,-0.5550687614264794,True,True,False,False,False,True,1
LP001095,-0.7216018686539345,-0.35716191156926597,-0.5509459683932281,-0.22334965033464807,0.2746690925097148,1.0,0.0,-0.5952882369864373,1.8954805592912702,1.3791779031192872,True,False,False,False,False,True,1
LP001097,0.2815552510768581,-0.10328862894096048,-0.5509459683932281,-0.4856342481480119,0.2746690925097148,1.0,1.0,-0.35806705540991524,-0.16619922511558902,0.2946909694785207,True,False,False,True,False,False,2
